,Harbor,Date,isKorean,Full_10,Empty_10,Full_20,Empty_20,Full_40,Empty_40,Full_other,Empty_other,R/T
279,"East Sea, Mukho",2019-12-01,FALSE,0,0,0,0,0,0,0,0,0
280,"East Sea, Mukho",2020-01-01,TRUE,0,0,0,0,0,0,0,0,0
281,"East Sea, Mukho",2020-01-01,FALSE,0,0,0,0,0,0,0,0,0
282,"East Sea, Mukho",2020-02-01,TRUE,0,0,0,0,0,0,0,0,0
283,"East Sea, Mukho",2020-02-01,FALSE,0,0,0,0,0,0,0,0,0
284,"East Sea, Mukho",2020-03-01,TRUE,0,0,0,0,0,0,0,0,0
285,"East Sea, Mukho",2020-03-01,FALSE,0,0,0,0,0,0,0,0,0
286,"East Sea, Mukho",2020-04-01,TRUE,0,0,0,0,0,0,0,0,0
287,"East Sea, Mukho",2020-04-01,FALSE,0,0,0,0,0,0,0,0,0
288,"East Sea, Mukho",2020-05-01,TRUE,0,0,0,0,0,0,0,0,0
289,"East Sea, Mukho",2020-05-01,FALSE,0,0,0,0,0,0,0,0,0
290,Daesan,2018-01-01,TRUE,0,0,290,0,105,80,0,0,10057
291,Daesan,2018-01-01,FALSE,0,0,2781,729,1245,1000,0,0,105122
292,Daesan,2018-02-01,TRUE,0,0,296,106,74,85,0,0,9053
293,Daesan,2018-02-01,FALSE,0,0,2725,547,838,630,0,0,90260
294,Daesan,2018-03-01,TRUE,0,0,255,70,142,154,0,0,10213
295,Daesan,2018-03-01,FALSE,0,0,3250,1012,939,642,0,0,104138
296,Daesan,2018-04-01,TRUE,0,0,213,30,60,160,0,0,6693
297,Daesan,2018-04-01,FALSE,0,0,3151,181,1204,765,0,0,115459
298,Daesan,2018-05-01,TRUE,0,0,1175,80,167,135,0,0,31671
299,Daesan,2018-05-01,FALSE,0,0,3322,290,1058,455,0,0,107362
300,Daesan,2018-06-01,TRUE,0,0,1232,50,224,73,0,0,34601
301,Daesan,2018-06-01,FALSE,0,0,1581,515,553,475,0,0,54050
302,Daesan,2018-07-01,TRUE,0,0,968,0,187,75,0,0,28150
303,Daesan,2018-07-01,FALSE,0,0,2672,427,1028,796,0,0,92830
304,Daesan,2018-08-01,TRUE,0,0,850,40,17,39,0,0,20070
305,Daesan,2018-08-01,FALSE,0,0,2955,397,883,526,0,0,96826
306,Daesan,2018-09-01,TRUE,0,0,643,0,5,25,0,0,15259
307,Daesan,2018-09-01,FALSE,0,0,2445,347,804,485,0,0,83278
308,Daesan,2018-10-01,TRUE,0,0,856,67,74,29,0,0,21112
