Week ending,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,Total Lower 48
12-Jun-20,586,688,156,290,1173,358,815,2892
19-Jun-20,619,716,165,299,1212,372,840,3012
26-Jun-20,639,740,173,304,1222,368,854,3077
03-Jul-20,657,761,180,310,1226,364,862,3133
10-Jul-20,672,780,186,312,1228,359,869,3178
17-Jul-20,693,799,190,311,1221,349,872,3215
24-Jul-20,706,815,196,313,1211,339,872,3241
31-Jul-20,718,830,202,311,1214,336,878,3274
07-Aug-20,738,856,206,314,1219,337,883,3332
14-Aug-20,750,880,209,313,1223,335,888,3375
21-Aug-20,775,904,212,306,1223,334,889,3420
28-Aug-20,789,924,212,304,1225,331,895,3455
04-Sep-20,805,953,216,308,1243,335,908,3525
11-Sep-20,825,983,221,310,1276,349,927,3614
18-Sep-20,851,1009,225,312,1283,349,934,3680
25-Sep-20,872,1033,231,316,1304,358,945,3756
02-Oct-20,893,1062,236,318,1322,366,955,3831
09-Oct-20,908,1081,241,320,1326,366,960,3877
16-Oct-20,923,1105,245,323,1329,360,969,3926
23-Oct-20,941,1118,245,323,1329,360,968,3955
30-Oct-20,947,1119,240,320,1293,348,945,3919
06-Nov-20,942,1127,243,322,1293,345,948,3927
13-Nov-20,953,1139,241,319,1306,350,956,3958
20-Nov-20,934,1133,242,320,1312,356,956,3940
27-Nov-20,934,1122,240,318,1326,368,958,3939
04-Dec-20,915,1095,232,312,1294,361,933,3848
11-Dec-20,881,1059,223,306,1256,348,908,3726
18-Dec-20,844,1015,212,296,1207,337,870,3574
25-Dec-20,810,973,204,289,1183,334,849,3460
01-Jan-21,765,923,196,282,1163,333,830,3330
08-Jan-21,726,879,188,278,1126,327,799,3196
15-Jan-21,679,828,176,275,1051,296,755,3009
22-Jan-21,641,780,170,275,1014,288,726,2881
29-Jan-21,582,719,158,261,970,281,689,2689
05-Feb-21,529,666,150,257,915,261,654,2518
